HEALTHFACTORTYPE,SmokingFactor
PTRP SMOKING CESSATION,CURRENT SMOKER
PTSD INTEGRATED SMOKING CESSATION CARE,CURRENT SMOKER
PVAMC Smoking Cessation Class,CURRENT SMOKER
QUIT SMOKING > FIVE YEARS AGO,FORMER SMOKER
QUIT SMOKING > FOUR YEARS AGO,FORMER SMOKER
QUIT SMOKING > ONE YEAR AGO,FORMER SMOKER
QUIT SMOKING > SEVEN YEARS AGO,FORMER SMOKER
QUIT SMOKING > SIX YEARS AGO,FORMER SMOKER
QUIT SMOKING > THREE YEARS AGO,FORMER SMOKER
QUIT SMOKING > TWO YEARS AGO,FORMER SMOKER
QUIT SMOKING BETWEEN 1 AND 6 MONTHS AGO,FORMER SMOKER
QUIT SMOKING BETWEEN 6M AND 1Y AGO,FORMER SMOKER
QUIT SMOKING BTW 1 AND 7 YRS AGO,FORMER SMOKER
QUIT SMOKING LESS THAN 1 MONTH AGO,FORMER SMOKER
QUIT SMOKING MEDICATION REFERRAL,CURRENT SMOKER
QUIT SMOKING MORE THAN 1 YEAR AGO,FORMER SMOKER
QUIT SMOKING MORE THAN 12 MONTHS,FORMER SMOKER
QUIT SMOKING MORE THAN ONE YEAR AGO,FORMER SMOKER
QUIT SMOKING WITHIN PAST YEAR,FORMER SMOKER
QUIT SMOKING<12 MONTHS AGO,FORMER SMOKER
QUIT TOB >12MO & <7YRS AGO FY09,FORMER SMOKER
QUIT TOB 2-14YRS AGO,FORMER SMOKER
QUIT TOB IN LAST 12 MONTHS,FORMER SMOKER
QUIT TOB IN LAST 12 MOS FY09,FORMER SMOKER
QUIT TOB MED CLINIC,CURRENT SMOKER
QUIT TOBACCO <12 MONTH SCREEN DONE,FORMER SMOKER
QUIT TOBACCO <12 MONTHS AGO,FORMER SMOKER
QUIT TOBACCO <7 YEARS AGO,FORMER SMOKER
QUIT TOBACCO >12 MO,FORMER SMOKER
QUIT TOBACCO >12 MO & <7 YRS AGO,FORMER SMOKER
QUIT TOBACCO >12 MO & <7 YRS AGO 1,FORMER SMOKER
QUIT TOBACCO >12 MO & <7 YRS AGO 2,FORMER SMOKER
QUIT TOBACCO >12 MO & <7 YRS AGO -2,FORMER SMOKER
QUIT TOBACCO >12 MO & <7 YRS AGO CLE,FORMER SMOKER
QUIT TOBACCO >12 MO & <7 YRS AGO INPT,FORMER SMOKER
QUIT TOBACCO >12 MO & <7 YRS AGOB,FORMER SMOKER
QUIT TOBACCO >12 MO <7 YRS LIPID CLINIC,FORMER SMOKER
QUIT TOBACCO >12MO & <7 YRS (VERIFIED),FORMER SMOKER
QUIT TOBACCO >15YRS AGO,FORMER SMOKER
QUIT TOBACCO >3 MONTHS & <7 YRS AGO,FORMER SMOKER
QUIT TOBACCO >7 YEARS AGO,FORMER SMOKER
QUIT TOBACCO >7 YEARS AGO (VERIFIED),FORMER SMOKER
QUIT TOBACCO >7 YEARS AGO 1,FORMER SMOKER
QUIT TOBACCO >7 YEARS AGO -2,FORMER SMOKER
QUIT TOBACCO >7 YEARS AGO INPT,FORMER SMOKER
QUIT TOBACCO >7 YEARS AGO SURG H&P,FORMER SMOKER
QUIT TOBACCO >7 YEARS AGO1,FORMER SMOKER
QUIT TOBACCO >7Y & <15Y AGO,FORMER SMOKER
QUIT TOBACCO >7YRS & <15YRS AGO,FORMER SMOKER
QUIT TOBACCO 10YRS AGO,FORMER SMOKER
QUIT TOBACCO 11YRS AGO,FORMER SMOKER
QUIT TOBACCO 12YRS AGO,FORMER SMOKER
QUIT TOBACCO 13YRS AGO,FORMER SMOKER
QUIT TOBACCO 14YRS AGO,FORMER SMOKER
QUIT TOBACCO 15 OR MORE YRS,FORMER SMOKER
QUIT TOBACCO 2YRS AGO,FORMER SMOKER
QUIT TOBACCO 3YRS AGO,FORMER SMOKER
QUIT TOBACCO 4YRS AGO,FORMER SMOKER
QUIT TOBACCO 5YRS AGO,FORMER SMOKER
QUIT TOBACCO 6YRS AGO,FORMER SMOKER
QUIT TOBACCO 7 YEARS OR MORE,FORMER SMOKER
QUIT TOBACCO 7YRS AGO,FORMER SMOKER
QUIT TOBACCO 8YRS AGO,FORMER SMOKER
QUIT TOBACCO 9YRS AGO,FORMER SMOKER
QUIT TOBACCO CLA,FORMER SMOKER
QUIT TOBACCO IN LAST 12 MOS.(VERIFIED),FORMER SMOKER
QUIT TOBACCO IN THE LAST 12 MONTHS,FORMER SMOKER
QUIT TOBACCO IN THE LAST 12 MONTHS 1,FORMER SMOKER
QUIT TOBACCO IN THE LAST 12 MONTHS -2,FORMER SMOKER
QUIT TOBACCO IN THE LAST 12 MONTHS CLE,FORMER SMOKER
QUIT TOBACCO IN THE LAST 12 MONTHS INPT,FORMER SMOKER
QUIT TOBACCO IN THE LAST 12 MONTHSB,FORMER SMOKER
QUIT TOBACCO LAST 12 MONTHS LIPID CLINIC,FORMER SMOKER
QUIT TOBACCO LESS THAN 7 YEARS AGO,FORMER SMOKER
QUIT TOBACCO PRODUCT USE < 13 MONTHS,FORMER SMOKER
QUIT TOBACCO PRODUCT USE > 13 MONTHS,FORMER SMOKER
QUIT TOBACCO USE (> 7 YEARS AGO),FORMER SMOKER
QUIT TOBACCO USE (1-6 YEARS AGO),FORMER SMOKER
QUIT TOBACCO USE (WITHIN LAST YEAR),FORMER SMOKER
QUIT TOBACCO USE > 7 YEARS AGO,FORMER SMOKER
QUIT TOBACCO USE >12 MONTHS,FORMER SMOKER
QUIT TOBACCO USE 1-7 YEARS AGO,FORMER SMOKER
QUIT TOBACCO USE IN LAST YEAR,FORMER SMOKER
QUIT TOBACCO USE IN PAST 12 MONTHS,FORMER SMOKER
QUIT TOBACCO USE IN PAST YEAR,FORMER SMOKER
QUIT TOBACCO USE WITHIN LAST YEAR,FORMER SMOKER
QUIT TOBACCO WITHIN LAST 7 YEARS,FORMER SMOKER
QUIT TOBACCO WITHIN LAST YEAR,FORMER SMOKER
QUIT TOBACCO WITHIN THE LAST YEAR,FORMER SMOKER
QUIT TOBACCO WITHIN THE PAST 3 MONTHS,FORMER SMOKER
QUIT TOBACCO>12 MO & <7 YRS AGO,FORMER SMOKER
QUIT>7YRS AGO OR LIFETIME NON-SMOKER,unknown
QUTOBM,UNKNOWN
RD HIGH DOSE VITAMIN (NON SMOKER) ORDER,unknown
RD HIGH DOSE VITAMIN (SMOKER) ORDER,CURRENT SMOKER
READY TO QUIT TOBACCO,CURRENT SMOKER
RECEIVING SCRIPT FOR TOBACCO,CURRENT SMOKER
RECENT CESSATION OF TOBACCO USE,CURRENT SMOKER
RECENT NONSMOKER,FORMER SMOKER
RECENTLY QUIT TOBACCO USE < 1 YEAR,FORMER SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 1,CURRENT SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 10,UNKNOWN
REDUCE SMOKING CONFIDENCE LEVEL 2,CURRENT SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 3,CURRENT SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 4,UNKNOWN
REDUCE SMOKING CONFIDENCE LEVEL 5,CURRENT SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 6,CURRENT SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 7,CURRENT SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 8,CURRENT SMOKER
REDUCE SMOKING CONFIDENCE LEVEL 9,CURRENT SMOKER
REDUCE SMOKING: HOW MUCH?,UNKNOWN
REDUCE SMOKING: HOW OFTEN?,CURRENT SMOKER
REDUCE SMOKING: WHAT?,CURRENT SMOKER
REDUCE SMOKING: WHEN?,UNKNOWN
REFER TO SMOKING CESSATION,CURRENT SMOKER
REFERED SMOKING CESSATION,CURRENT SMOKER
REFERRAL ALERT-SMOKER-NO,UNKNOWN
REFERRAL ALERT-SMOKER-YES,CURRENT SMOKER
REFERRAL TO SMOKING CESSATION CLINIC,CURRENT SMOKER
REFERRED FOR SMOKING CESSATION,CURRENT SMOKER
REFERRED OUTPT TOBACCO COUNSELING,CURRENT SMOKER
REFERRED PT TO TOBACCO CESSATION CLASS,CURRENT SMOKER
REFERRED TO TOBACCO CESSATION CLASSES,CURRENT SMOKER
REFERRED TO TOBACCO TACTICS WEBSITE,CURRENT SMOKER
REFERRED TO VA TOBACCO CESSATION PROGRAM,CURRENT SMOKER
REFUSAL OF SMOKING CESSATION ED,CURRENT SMOKER
REFUSE TO ANSWER TOBACCO USE INPATIENT,CURRENT SMOKER
REFUSED 1ST SMOKING CESSATION,CURRENT SMOKER
REFUSED 2ND SMOKING CESSATION,CURRENT SMOKER
REFUSED 3RD SMOKING CESSATION,CURRENT SMOKER
REFUSED Current Smoker Education (1),CURRENT SMOKER
REFUSED Current Smoker Education (2),CURRENT SMOKER
REFUSED Current Smoker Education (3),CURRENT SMOKER
REFUSED Current Smoker Education Inpt,CURRENT SMOKER
REFUSED OUTPT TOBACCO COUNSELING,CURRENT SMOKER
REFUSED REFERRAL FOR SMOKING CESSATION,CURRENT SMOKER
REFUSED SCRIPT FOR TOBACCO,CURRENT SMOKER
REFUSED SMOKING CESSATION,CURRENT SMOKER
REFUSED SMOKING CESSATION CLASS,CURRENT SMOKER
REFUSED SMOKING CESSATION COUNSELING,CURRENT SMOKER
REFUSED SMOKING CESSATION PROGRAM,CURRENT SMOKER
REFUSED SMOKING CESSATION REFERRAL,CURRENT SMOKER
REFUSED TOB REFRL BY PROVDR,CURRENT SMOKER
REFUSED TOBACCO CESS.MEDS,CURRENT SMOKER
REFUSED TOBACCO CESSATION,CURRENT SMOKER
REFUSED TOBACCO CESSATION COUNSELING,CURRENT SMOKER
REFUSED TOBACCO CESSATION MEDICATION,CURRENT SMOKER
REFUSED TOBACCO CESSATION PROGRAM,CURRENT SMOKER
REFUSED TOBACCO CESSATION REFERRAL,CURRENT SMOKER
REFUSED TOBACCO COUNSELING,CURRENT SMOKER
REFUSED TOBACCO COUNSELING/PROGRAM,CURRENT SMOKER
REFUSED TOBACCO COUNSELING/TX INPT,CURRENT SMOKER
REFUSED TOBACCO EDUCATION,CURRENT SMOKER
REFUSED TOBACCO PRACTICAL COUNSELING,CURRENT SMOKER
REFUSED TOBACCO PROGRAM,CURRENT SMOKER
REFUSED TOBACCO SCREEN,UNKNOWN
REFUSED TOBACCO SCREENING,UNKNOWN
REFUSED TOBACCO USE SCREEN,UNKNOWN
REFUSED TOBACCO USE SCREEN INP,UNKNOWN
REFUSED Tobacco Use Screening,UNKNOWN
REFUSED/NOT IND. TOBACCO USE SCREEN,UNKNOWN
REFUSES SMOKING CESSATION,CURRENT SMOKER
REFUSES TOBACCO CESSATION PROGRAM,CURRENT SMOKER
REFUSES TOBACCO SCREEN,UNKNOWN
RELAPSE TOBACCO COUNSELING #1,CURRENT SMOKER
RELAPSE TOBACCO COUNSELING #2,CURRENT SMOKER
RELAPSE TOBACCO COUNSELING #3,CURRENT SMOKER
REMAIN TOB FREE,UNKNOWN
REMINDER TOBACCO EDUCATION VALIDATION,UNKNOWN
Reports not quitting tobacco use,CURRENT SMOKER
REPORTS NOT USING TOBACCO LAST 30 DAYS,UNKNOWN
Reports quitting tobacco use,FORMER SMOKER
REQUEST MEDS TOBACCO USE INPATIENT,CURRENT SMOKER
RESOLVE TOBACCO 2 FOR 24 HOURS,unknown
RESOLVE TOBACCO 3 FOR 24 HOURS,unknown
RESOLVE TOBACCO COUNSELING 2,UNKNOWN
RESOLVE TOBACCO COUNSELING 3,UNKNOWN
RF SMOK 0,UNKNOWN
RF SMOK FMR<6,FORMER SMOKER
RF SMOK FMR>6,FORMER SMOKER
RF SMOK Y,UNKNOWN
R-ISSUE (TOBACCO CESSATION),CURRENT SMOKER
R-ISSUE (TOBACCO UPDATE),UNKNOWN
SAFETY HAZARD-NO SMOKE ALARMS,UNKNOWN
SAG TOBACCO,UNKNOWN
SAG TOBACCO3,UNKNOWN
SC SMOKING: NO,UNKNOWN
SC SMOKING: YES,CURRENT SMOKER
SCI ACUPUNCTURE VISIT TOBACCO CESSATION,CURRENT SMOKER
SD TOBACCO HISTORY,UNKNOWN
SD TOBACCO USE,UNKNOWN
SECOND HAND SMOKE EXPOSURE,UNKNOWN
SECOND SMOKING CESSATION REFUSED,CURRENT SMOKER
SECOND TOBACCO COUNSELING,CURRENT SMOKER
SLP AUTOBIPAP CATEGORY,UNKNOWN
SLP AUTOBIPAP MAX IPAP(_)CM H2O,UNKNOWN
SLP AUTOBIPAP MAX PS(_),UNKNOWN
SLP AUTOBIPAP MIN EPAP(_)CM H2O,UNKNOWN
SMA TOB CESS,CURRENT SMOKER
SMA TOB COUNSEL,CURRENT SMOKER
SMA TOBACCO,UNKNOWN
SMALL CIGARS (Avg # per day),UNKNOWN
SMOK CES ACS,unknown
SMOK CESS PACK YEARS,CURRENT SMOKER
SMOKE 9 CIG OR LESS,CURRENT SMOKER
SMOKE CESSATION PROGRAM,CURRENT SMOKER
SMOKE CIG 10 OR MORE,CURRENT SMOKER
SMOKE DETECTOR - NO,UNKNOWN
SMOKE DETECTOR - YES,UNKNOWN
SMOKE DETECTORS NA,UNKNOWN
SMOKE DETECTORS NO,UNKNOWN
SMOKE DETECTORS YES,UNKNOWN
SMOKE FREE VET,UNKNOWN
SMOKE FREE VET - VIDEO PLAYED,CURRENT SMOKER
SMOKE/TOBACCO CESS ADDRESSED TODAY,CURRENT SMOKER
SMOKED < 100 CIGARETTES,NEVER SMOKER
SMOKED IN PAST 12 MONTHS,CURRENT SMOKER
SMOKED IN PAST YEAR-NO,UNKNOWN
SMOKED IN PAST YEAR-YES,CURRENT SMOKER
SMOKED TODAY - SUPERVISED,CURRENT SMOKER
SMOKED TODAY - UNSUPERVISED,CURRENT SMOKER
SMOKEFREE VET ENROLLMENT,UNKNOWN
SMOKEFREE VET NOTE,UNKNOWN
SMOKEFREE VET QUESTIONNAIRE,UNKNOWN
SMOKEFREEVET REFERRAL,CURRENT SMOKER
SMOKELESS,UNKNOWN
SMOKELESS & SMOKER TOBACCO COUNSEL,UNKNOWN
SMOKELESS TOB USER,UNKNOWN
SMOKELESS TOBACCO,UNKNOWN
SMOKELESS TOBACCO PRODUCTS,UNKNOWN
SMOKELESS TOBACCO USE,UNKNOWN
SMOKELESS TOBACCO USER,UNKNOWN
SMOKELESS TOBACCO USER - CURRENT,UNKNOWN
SMOKELESS TOBACCO USER BRX,UNKNOWN
SMOKELESS TOBACCO USER T,UNKNOWN
SMOKELESS TOBACCO USER T*,UNKNOWN
SMOKELESS TOBACCO USER V03,UNKNOWN
SMOKELESS TOBACCO USER V1,UNKNOWN
SMOKELESS TOBACCO USER(1),UNKNOWN
"SMOKELESS TOBACCO, MID",UNKNOWN
SMOKELESS/CHEWING TOBACCO USER,UNKNOWN
SMOKER,CURRENT SMOKER
SMOKER - NOT TODAY,UNKNOWN
SMOKER - OFFERRED MEDS (PROVIDER),CURRENT SMOKER
SMOKER - PREVIOUS,FORMER SMOKER
SMOKER <10,CURRENT SMOKER
"SMOKER >2 PPD, NEUROSURG",CURRENT SMOKER
"SMOKER 10-15YRS, NEUROSURG",UNKNOWN
SMOKER 10-20,CURRENT SMOKER
SMOKER 1-2 PACKS,CURRENT SMOKER
"SMOKER 15-20YRS, NEUROSURG",UNKNOWN
"SMOKER 1-5YRS, NEUROSURG",UNKNOWN
"SMOKER 1PPD, NEUROSURG",UNKNOWN
SMOKER 2 OR > PACKS,CURRENT SMOKER
"SMOKER 2 PPD, NEUROSURG",UNKNOWN
"SMOKER 20-25YRS, NEUROSURG",CURRENT SMOKER
"SMOKER 25-30YRS, NEUROSURG",CURRENT SMOKER
SMOKER 30-40YRS,CURRENT SMOKER
"SMOKER 40-50YRS, NEUROSURG",UNKNOWN
"SMOKER 50+YRS, NEUROSURG",CURRENT SMOKER
"SMOKER 5-10YRS, NEUROSURG",CURRENT SMOKER
SMOKER A SMOKER,CURRENT SMOKER
SMOKER ASSESSMENT FOR INPATIENTS,CURRENT SMOKER
SMOKER FINDING RECORDED IN ERROR,UNKNOWN
SMOKER NOT A SMOKER,unknown
SMOKER NOT ABLE TO ASSESS,unknown
"SMOKER, LNET",CURRENT SMOKER
"SMOKER, NEUROSURG",CURRENT SMOKER
SMOKER: 1-14 PACK YEARS,CURRENT SMOKER
SMOKER: 15-29 PACK YEARS,CURRENT SMOKER
SMOKER: 30 OR MORE PACK YEARS,CURRENT SMOKER
SMOKER-CURRENT,CURRENT SMOKER
SMOKES CIGARETTES,CURRENT SMOKER
SMOKES PACK PER DAY,CURRENT SMOKER
SMOKES PACK PER YEAR,CURRENT SMOKER
SMOKING,UNKNOWN
SMOKING (FREE & CLEAR) ENROLLED,CURRENT SMOKER
SMOKING (FREE & CLEAR) REFUSED,CURRENT SMOKER
SMOKING (FREE & CLEAR) UNABLE TO CONTACT,CURRENT SMOKER
SMOKING (Q4L) ENROLLED,UNKNOWN
SMOKING (Q4L) REFUSED,CURRENT SMOKER
SMOKING (Q4L) UNABLE TO CONTACT,UNKNOWN
"SMOKING 2, PATIENT QUIT",FORMER SMOKER
"SMOKING 3, PATIENT QUIT",FORMER SMOKER
SMOKING CESSATION,CURRENT SMOKER
SMOKING CESSATION 2 DELAY,CURRENT SMOKER
SMOKING CESSATION 3 DELAY,CURRENT SMOKER
SMOKING CESSATION ACCEPTED,CURRENT SMOKER
SMOKING CESSATION AIDE ORDERED,CURRENT SMOKER
SMOKING CESSATION ASSESSMENT,CURRENT SMOKER
SMOKING CESSATION BRIEF COUNSELING,CURRENT SMOKER
SMOKING CESSATION CLINIC NOTE DONE,CURRENT SMOKER
SMOKING CESSATION CONSULT NOT NEEDED,UNKNOWN
SMOKING CESSATION CONSULT ORDERED,CURRENT SMOKER
SMOKING CESSATION CONSULT PLACED,CURRENT SMOKER
SMOKING CESSATION COUNSELING,CURRENT SMOKER
SMOKING CESSATION COUNSELING REFUSED,CURRENT SMOKER
SMOKING CESSATION CURRENT,CURRENT SMOKER
SMOKING CESSATION DECLINED,CURRENT SMOKER
SMOKING CESSATION DONE ELSEWHERE,CURRENT SMOKER
SMOKING CESSATION EDUC REFUSED,CURRENT SMOKER
SMOKING CESSATION EDUCATION,CURRENT SMOKER
SMOKING CESSATION EDUCATION DECLINED,CURRENT SMOKER
SMOKING CESSATION EDUCATION DOCUMENTED,CURRENT SMOKER
SMOKING CESSATION EDUCATION SCHEDULED,CURRENT SMOKER
SMOKING CESSATION FU,CURRENT SMOKER
SMOKING CESSATION INFORMATION,CURRENT SMOKER
SMOKING CESSATION INFORMATION GIVEN,CURRENT SMOKER
SMOKING CESSATION INP CURRENT SMOKER,CURRENT SMOKER
SMOKING CESSATION INP NOT SMOKER,FORMER SMOKER
SMOKING CESSATION INP REFUSED,CURRENT SMOKER
SMOKING CESSATION INP SMOKER IMPAIRED,CURRENT SMOKER
SMOKING CESSATION INP SMOKER NO TX OTHER,CURRENT SMOKER
SMOKING CESSATION INP SMOKER TX CONTRA,UNKNOWN
SMOKING CESSATION INP STARTED MEDS,CURRENT SMOKER
SMOKING CESSATION INTERVENTIONS,CURRENT SMOKER
SMOKING CESSATION MEDICATION,CURRENT SMOKER
SMOKING CESSATION MEDICATION INTEREST,CURRENT SMOKER
SMOKING CESSATION MEDICATION ORDERED,CURRENT SMOKER
SMOKING CESSATION MEDICATION THERAPY,CURRENT SMOKER
SMOKING CESSATION MEDICATION TX,CURRENT SMOKER
SMOKING CESSATION MEDICATIONS DECLINED,CURRENT SMOKER
SMOKING CESSATION NO,UNKNOWN
SMOKING CESSATION NOT INDICATED,UNKNOWN
SMOKING CESSATION NOT INDICATED INPT,UNKNOWN
SMOKING CESSATION OFFER,CURRENT SMOKER
SMOKING CESSATION ORDER FOLLOW-UP,CURRENT SMOKER
SMOKING CESSATION OTC MEDS EDUCATION,CURRENT SMOKER
SMOKING CESSATION OTHER PROVIDER,CURRENT SMOKER
SMOKING CESSATION QUIT LINE,CURRENT SMOKER
Smoking Cessation recommended,CURRENT SMOKER
SMOKING CESSATION REFERRAL,CURRENT SMOKER
SMOKING CESSATION REFERRAL DECLINED,CURRENT SMOKER
SMOKING CESSATION REFERRAL MADE,CURRENT SMOKER
SMOKING CESSATION REFERRAL OFFERED,CURRENT SMOKER
SMOKING CESSATION REFERRAL TO CLASS,CURRENT SMOKER
SMOKING CESSATION REFUSED,CURRENT SMOKER
SMOKING CESSATION STRATEGIES,CURRENT SMOKER
SMOKING CESSATION STRATEGIES MD/PA/NP,CURRENT SMOKER
SMOKING CESSATION STRATEGIES SW/RN/PSY,CURRENT SMOKER
SMOKING CESSATION YES,CURRENT SMOKER
Smoking cessation/treatment by provider,CURRENT SMOKER
SMOKING CESSATION: SESSION 1,CURRENT SMOKER
SMOKING CESSATION: SESSION 2,CURRENT SMOKER
SMOKING CESSATION: SESSION 3,CURRENT SMOKER
SMOKING CESSATION: SESSION 4,CURRENT SMOKER
SMOKING CESSATION: SESSION 5,CURRENT SMOKER
SMOKING CESSATION: SESSION 6,CURRENT SMOKER
SMOKING CESSATION: SESSION 7,CURRENT SMOKER
SMOKING CESSATION: SESSION 8,CURRENT SMOKER
SMOKING CESSATON CONSULT,CURRENT SMOKER
SMOKING CESSSATION REFERRAL PT REFUSED,CURRENT SMOKER
Smoking Clinic Referral,CURRENT SMOKER
SMOKING COUNSELING,CURRENT SMOKER
SMOKING COUNSELING FIRST,CURRENT SMOKER
SMOKING COUNSELING SECOND,CURRENT SMOKER
SMOKING EDUCATION,CURRENT SMOKER
SMOKING EDUCATIONAL HANDOUT,CURRENT SMOKER
SMOKING EVAL NON SMOKER,UNKNOWN
SMOKING EVAL SMOKER,CURRENT SMOKER
SMOKING FIRE RISK ASSESSMENT,UNKNOWN
SMOKING HX,unknown
SMOKING HX >100 CIGARETTES EVER,UNKNOWN
SMOKING MEDICATION INTEREST,CURRENT SMOKER
SMOKING MEDICATION INTEREST CLE,CURRENT SMOKER
SMOKING NEEDS TYPE,UNKNOWN
SMOKING O2 FIRE RISK ELEVATED HIGH,UNKNOWN
SMOKING O2 FIRE RISK HIGH,CURRENT SMOKER
SMOKING O2 FIRE RISK HIGH NO LONGER,FORMER SMOKER
SMOKING O2 FIRE RISK LOW,UNKNOWN
SMOKING O2 FIRE RISK LOW NO LONGER,FORMER SMOKER
SMOKING O2 FIRE RISK MODERATE,CURRENT SMOKER
SMOKING O2 FIRE RISK MODERATE NO LONGER,FORMER SMOKER
SMOKING O2 RISK HI DEPRESSION,UNKNOWN
SMOKING O2 RISK HI INJURY ON O2,CURRENT SMOKER
SMOKING O2 RISK HI MEMORY PROBLEM,CURRENT SMOKER
SMOKING O2 RISK HI SMOKING ON O2,CURRENT SMOKER
SMOKING O2 RISK HI SUBSTANCE USE/ABUSE,CURRENT SMOKER
"SMOKING PACKS PER DAY, MID",UNKNOWN
SMOKING RISK - NONE,UNKNOWN
SMOKING RISK - NORMAL,unknown
SMOKING RISK ASSESSMENT,UNKNOWN
SMOKING RISK ASSESSMENT (COMPLETED),UNKNOWN
SMOKING RISK -IDENTIFIED HIGH,UNKNOWN
SMOKING RISK -INTERVENTION,unknown
SMOKING STATUS,UNKNOWN
SMOKING SUPERVISED,CURRENT SMOKER
SMOKING UNSUPERVISED,UNKNOWN
SMOKING WITH APRON,CURRENT SMOKER
SMOKING-HIGH RISK,UNKNOWN
SPIROMETRY CURRENT SMOKER CIGS PER DAY,CURRENT SMOKER
SPIROMETRY CURRENT SMOKER YEARS SMOKED,CURRENT SMOKER
SPIROMETRY FORMER SMOKER CIGS PER DAY,FORMER SMOKER
SPIROMETRY FORMER SMOKER YEARS SMOKED,FORMER SMOKER
SPIROMETRY SMOKER NUMBER OF PACK-YEARS,CURRENT SMOKER
SPIROMETRY SMOKER NUMBER YRS SINCE QUIT,FORMER SMOKER
SPIROMETRY SMOKING CIGARETTES PER DAY,CURRENT SMOKER
SPIROMETRY SMOKING NEVER SMOKED,NEVER SMOKER
SRA DROPPED CIGARETTE 1M,UNKNOWN
SRA DROPPED CIGARETTE 3M,CURRENT SMOKER
SRA FALLEN ASLEEP SMOKING 1M,CURRENT SMOKER
SRA FALLEN ASLEEP SMOKING 3M,CURRENT SMOKER
SRA INT LEAVE CIG/LIGHTER AT RN STATION,UNKNOWN
SRA INT NO SMOKING IF SLEEPY,UNKNOWN
SRA INT NO SMOKING UNTIL EVAL MEDS,UNKNOWN
SRA INT RN OBSERVE SMOKING HOURLY,UNKNOWN
SRA INT VET CANNOT SMOKE INDEPENDENTLY,UNKNOWN
SRA INT VET WILL NOT SMOKE WITH OXYGEN,UNKNOWN
SRA NON-SMOKER,unknown
SRA RN OBSERVED ABILITY TO SMOKE LIMITED,UNKNOWN
STAPH SCREEN CLC BI-ANNUAL OCTOBER,UNKNOWN
STAPH SCREEN CLC REFUSED OCTOBER,UNKNOWN
STOP SMOKING,UNKNOWN
STOP SMOKING AIDE-BUPROPION,CURRENT SMOKER
STOP SMOKING AIDE-GUM,CURRENT SMOKER
STOP SMOKING AIDE-PATCH,CURRENT SMOKER
STOP SMOKING AIDE-TAPES,CURRENT SMOKER
STOP SMOKING CLASS 1A,CURRENT SMOKER
STOP SMOKING CLASS 1B,CURRENT SMOKER
STOP SMOKING CLASS 2A,CURRENT SMOKER
STOP SMOKING CLASS 2B,CURRENT SMOKER
STOP SMOKING CLASS 3A,CURRENT SMOKER
STOP SMOKING CLASS 3B,CURRENT SMOKER
STOP SMOKING CLASS 4A,CURRENT SMOKER
STOP SMOKING CLASS 4B,CURRENT SMOKER
STOP SMOKING CLASS 6A,CURRENT SMOKER
STOP SMOKING CLASS 6B,CURRENT SMOKER
STOP SMOKING CLASS 7A,CURRENT SMOKER
STOP SMOKING CLASS 7B,CURRENT SMOKER
STOP SMOKING CLASS 8A,CURRENT SMOKER
STOP SMOKING CLASS 8B,CURRENT SMOKER
STOP SMOKING CLASS NO,CURRENT SMOKER
STOP SMOKING CLASS YES,CURRENT SMOKER
STOP SMOKING CLINIC ACCEPTED,CURRENT SMOKER
STOPPED TOBACCO USE,FORMER SMOKER
STOPS SMOKING,UNKNOWN
STORMTobacco use disorder,CURRENT SMOKER
STROKE FACTOR TOBACCO USE,UNKNOWN
STROKE-CUT DOWN ON SMOKING,unknown
STRONG FOR SURGERY SMOK CESSATION SCRN,CURRENT SMOKER
STRONG FOR SURGERY-SMOK CESS SCRN DONE,UNKNOWN
STRONG FOR SURG-SMOK CLASS CONS ORDERED,UNKNOWN
STRONG FOR SURG-SMOK CURRENT/RECENT,CURRENT SMOKER
STRONG FOR SURG-SMOK NOT CURRENT/RECENT,UNKNOWN
STRONG FOR SURG-SMOK NOT WILLING TO QUIT,CURRENT SMOKER
STRONG FOR SURG-SMOK REQUESTS MEDS,CURRENT SMOKER
STRONG FOR SURG-SMOK REQUESTS RESOURCES,UNKNOWN
STRONG FOR SURG-SMOK WILLING TO QUIT,CURRENT SMOKER
SUB/TOB DC TO HEALTHCARE,UNKNOWN
SUD/TOB,UNKNOWN
SUD/TOB ATTENDING OPT TOB CESSATION,CURRENT SMOKER
SUD/TOB CONTINUES USING TOB PRODUCTS,CURRENT SMOKER
SUD/TOB FOLLOWING THRU W/ TREATMENT,UNKNOWN
SUD/TOB NO SUD,UNKNOWN
SUD/TOB NO TOB,UNKNOWN
SUD/TOB NO USE RECOMMEND CESSATION MEDS,CURRENT SMOKER
SUD/TOB NOT ATTENDING OPT TOB CESSATION,UNKNOWN
SUD/TOB QUIT USING TOB PRODUCTS,CURRENT SMOKER
SUD/TOB REFUSED TO ANSWER TOB,CURRENT SMOKER
SUD/TOB USING RECOMMENDED CESSATION MEDS,CURRENT SMOKER
SURG PREOP EVAL DELAY TOB SCRN TO ADMIT,UNKNOWN
SUSPEND TOBACCO COUNSELING,UNKNOWN
